availableDocks,totalDocks,city,altitude,stAddress2,longitude,lastCommunicationTime,postalCode,statusValue,testStation,stAddress1,stationName,landMark,latitude,statusKey,availableBikes,id,location
15,39,,,,-74.0021163,,,In Service,False,W 34 St & 11 Ave,W 34 St & 11 Ave,,40.75594159,1,24,525,
24,43,,,,-73.98490707,,,In Service,False,E 33 St & 5 Ave,E 33 St & 5 Ave,,40.74765947,1,17,526,
22,59,,,,-73.97434726,,,In Service,False,E 33 St & 1 Ave,E 33 St & 1 Ave,,40.74315566,1,37,527,
18,39,,,,-73.97706058,,,In Service,False,2 Ave & E 30 St,2 Ave & E 30 St,,40.74290902,1,20,528,
27,41,,,,-73.99098507,,,In Service,False,W 42 St & 8 Ave,W 42 St & 8 Ave,,40.7575699,1,14,529,
18,39,,,,-73.99266288,,,In Service,False,Forsyth St & Broome St,Forsyth St & Broome St,,40.71893904,1,20,531,
34,43,,,,-73.960876,,,In Service,False,S 5 Pl & S 4 St,S 5 Pl & S 4 St,,40.710451,1,9,532,
29,50,,,,-73.98721619,,,In Service,False,Broadway & W 39 St,Broadway & W 39 St,,40.75299641,1,21,533,
21,31,,,,-74.0127234,,,In Service,False,Water - Whitehall Plaza,Water - Whitehall Plaza,,40.70255065,1,10,534,
1,29,,,,-73.97536082,,,In Service,False,1 Ave & E 30 St,1 Ave & E 30 St,,40.74144387,1,27,536,
4,39,,,,-73.98409214,,,In Service,False,Lexington Ave & E 24 St,Lexington Ave & E 24 St,,40.74025878,1,34,537,
31,39,,,,-73.97787642,,,In Service,False,W 49 St & 5 Ave,W 49 St & 5 Ave,,40.75795248,1,8,538,
5,31,,,,-73.96024116,,,In Service,False,Metropolitan Ave & Bedford Ave,Metropolitan Ave & Bedford Ave,,40.71534825,1,25,539,
14,39,,,,-73.98320928,,,In Service,False,Lexington Ave & E 26 St,Lexington Ave & E 26 St,,40.74147286,1,25,540,
11,27,,,,-73.97809472,,,In Service,False,E 23 St & 1 Ave,E 23 St & 1 Ave,,40.736502,1,15,545,
31,38,,,,-73.98303529,,,In Service,False,E 30 St & Park Ave S,E 30 St & Park Ave S,,40.74444921,1,5,546,
17,30,,,,-73.98940236,,,In Service,False,Front St & Washington St,Front St & Washington St,,40.70255088,1,13,2000,
1,15,,,,-73.97332996,,,In Service,False,7 Ave & Farragut St,7 Ave & Farragut St,,40.69892054,1,14,2001,
4,27,,,,-73.963198,,,In Service,False,Wythe Ave & Metropolitan Ave,Wythe Ave & Metropolitan Ave,,40.716887,1,22,2002,
11,30,,,STX 277,-73.98024289,,,In Service,False,1 Ave & E 18 St,1 Ave & E 18 St,,40.73416059,1,17,2003,
4,36,,,,-74.004704,,,In Service,False,6 Ave & Broome St,6 Ave & Broome St,,40.724399,1,31,2004,
2,12,,,,-73.97100056,,,In Service,False,Railroad Ave & Kay Ave,Railroad Ave & Kay Ave,,40.70531194,1,10,2005,
35,49,,,STX 287,-73.97634151,,,In Service,False,Central Park S & 6 Ave,Central Park S & 6 Ave,,40.76590936,1,14,2006,
22,24,,,,-74.01677685,,,In Service,False,Little West St & 1 Pl,Little West St & 1 Pl,,40.70569254,1,0,2008,
28,35,,,,-73.99682619,,,In Service,False,Catherine St & Monroe St,Catherine St & Monroe St,,40.71117444,1,7,2009,
17,39,,,,-74.00234737,,,In Service,False,Grand St & Greene St,Grand St & Greene St,,40.72165481,1,22,2010,
9,36,,,,-73.976806,,,In Service,False,E 27 St & 1 Ave,E 27 St & 1 Ave,,40.739445,1,27,2012,
38,39,,,,-73.97121414,,,In Service,False,E 43 St & 2 Ave,E 43 St & 2 Ave,,40.75022392,1,0,2017,
40,43,,,,-73.98859651,,,In Service,False,W 45 St & 8 Ave,W 45 St & 8 Ave,,40.75929124,1,3,2021,
15,33,,,,-73.95920622,,,In Service,False,E 59 St & Sutton Pl,E 59 St & Sutton Pl,,40.75849116,1,18,2022,
32,36,,,,-73.97031366,,,In Service,False,E 55 St & Lexington Ave,E 55 St & Lexington Ave,,40.75968085,1,3,2023,
22,25,,,,-74.015756,,,In Service,False,South End Ave & Liberty St,South End Ave & Liberty St,,40.711512,1,3,3002,
