station_start,station_end,distance_meters
chicago108,chicago113,5450
chicago108,chicago114,9300
chicago108,chicago115,7510
chicago108,chicago116,6747
chicago108,chicago117,8928
chicago108,chicago118,5235
chicago108,chicago119,3245
chicago108,chicago120,3340
chicago108,chicago121,12776
chicago108,chicago122,3352
chicago108,chicago123,7867
chicago108,chicago124,4187
chicago108,chicago126,5928
chicago108,chicago127,6162
chicago108,chicago128,5447
chicago108,chicago129,2859
chicago108,chicago13,7157
chicago108,chicago130,5407
chicago108,chicago131,8338
chicago108,chicago132,3936
chicago108,chicago134,959
chicago108,chicago135,2184
chicago108,chicago136,1731
chicago108,chicago137,1592
chicago108,chicago138,4498
chicago108,chicago14,2072
chicago108,chicago140,4622
chicago108,chicago141,6119
chicago108,chicago143,6933
chicago108,chicago144,6002
chicago108,chicago146,2231
chicago108,chicago147,5104
chicago108,chicago148,6172
chicago108,chicago149,6664
chicago108,chicago15,2540
chicago108,chicago150,7322
chicago108,chicago152,7202
chicago108,chicago153,7776
chicago108,chicago154,8182
chicago108,chicago156,8741
chicago108,chicago157,12893
chicago108,chicago158,6158
chicago108,chicago159,6695
chicago108,chicago16,5544
chicago108,chicago160,7071
chicago108,chicago162,8596
chicago108,chicago163,7686
chicago108,chicago164,2665
chicago108,chicago165,9185
chicago108,chicago166,7420
chicago108,chicago167,4832
chicago108,chicago168,2988
chicago108,chicago169,1028
chicago108,chicago17,5058
chicago108,chicago170,2278
chicago108,chicago171,2637
chicago108,chicago173,5039
chicago108,chicago174,1893
chicago108,chicago175,1745
chicago108,chicago176,4977
chicago108,chicago177,11106
chicago108,chicago178,4000
chicago108,chicago179,8036
chicago108,chicago181,3512
chicago108,chicago183,5296
chicago108,chicago184,6377
chicago108,chicago185,7203
chicago108,chicago186,3872
chicago108,chicago188,6698
chicago108,chicago19,1585
chicago108,chicago190,7018
chicago108,chicago191,1741
chicago108,chicago192,1618
chicago108,chicago193,5165
chicago108,chicago194,3520
chicago108,chicago195,4132
chicago108,chicago196,4808
chicago108,chicago197,3216
chicago108,chicago198,1274
chicago108,chicago199,4266
chicago108,chicago20,4804
chicago108,chicago200,9515
chicago108,chicago201,8423
chicago108,chicago202,1794
chicago108,chicago203,5072
chicago108,chicago204,11294
chicago108,chicago205,3546
chicago108,chicago206,2938
chicago108,chicago207,3417
chicago108,chicago208,3518
chicago108,chicago209,3352
chicago108,chicago21,1991
chicago108,chicago210,4647
chicago108,chicago211,4673
chicago108,chicago212,3543
chicago108,chicago213,6264
chicago108,chicago214,4934
chicago108,chicago215,3519
chicago108,chicago216,7477
chicago108,chicago217,2496
chicago108,chicago218,3284
chicago108,chicago219,6371
chicago108,chicago22,1129
chicago108,chicago220,8327
chicago108,chicago222,7427
chicago108,chicago223,5743
chicago108,chicago224,4841
chicago108,chicago225,5511
chicago108,chicago226,8044
chicago108,chicago227,9145
chicago108,chicago228,9101
chicago108,chicago229,8655
chicago108,chicago23,4570
chicago108,chicago230,8894
