availableDocks,totalDocks,city,altitude,stAddress2,longitude,lastCommunicationTime,postalCode,statusValue,testStation,stAddress1,stationName,landMark,latitude,statusKey,availableBikes,id,location
14,19,Chicago,,,-87.638618,,,Not In Service,False,Sedgwick St & North Ave,Sedgwick St & North Ave,070,41.910579,3,5,118,
13,19,Chicago,,,-87.66732,,,Not In Service,False,Ashland Ave & Lake St,Ashland Ave & Lake St,073,41.88541,3,6,119,
8,15,Chicago,,,-87.631937,,,Not In Service,False,Wentworth Ave & Archer Ave,Wentworth Ave & Archer Ave,075,41.854564,3,7,120,
14,15,Chicago,,,-87.590368,,,Not In Service,False,Blackstone Ave & Hyde Park Blvd,Blackstone Ave & Hyde Park Blvd,398,41.802562,3,0,121,Hyde Park
14,15,Chicago,,,-87.67328,,,Not In Service,False,Congress Pkwy & Ogden Ave,Congress Pkwy & Ogden Ave,081,41.87501,3,1,122,
6,15,Chicago,,,-87.697153,,,Not In Service,False,California Ave & Milwaukee Ave,California Ave & Milwaukee Ave,084,41.922695,3,9,123,
12,15,Chicago,,,-87.675726,,,Not In Service,False,Damen Ave & Cullerton St,Damen Ave & Cullerton St,089,41.855048,3,3,124,
9,15,Chicago ,,,-87.631841,,,Not In Service,False,Clark St & North Ave,Clark St & North Ave,128,41.911791,3,6,126,
11,15,Chicago ,,,-87.64926,,,Not In Service,False,Lincoln Ave & Fullerton Ave,Lincoln Ave & Fullerton Ave,131,41.925905,3,4,127,
12,15,Chicago ,,,-87.67722,,,Not In Service,False,Damen Ave & Chicago Ave,Damen Ave & Chicago Ave,132,41.895769,3,3,128,
5,15,Chicago ,,,-87.661535,,,Not In Service,False,Blue Island Ave & 18th St,Blue Island Ave & 18th St,135,41.857556,3,10,129,
10,15,Chicago ,,,-87.67695,,,Not In Service,False,Damen Ave & Division St,Damen Ave & Division St,136,41.90331,3,5,130,
5,15,Chicago ,,,-87.668385,,,Not In Service,False,Lincoln Ave & Belmont Ave,Lincoln Ave & Belmont Ave,140,41.939365,3,10,131,
12,15,Chicago ,,,-87.631715,,,Not In Service,False,Wentworth Ave & 24th St,Wentworth Ave & 24th St,149,41.849237,3,3,132,
17,19,Chicago,,,-87.649633,,,Not In Service,False,Peoria St & Jackson Blvd,Peoria St & Jackson Blvd,158,41.877749,3,2,134,
9,11,Chicago,,,-87.64665,,,Not In Service,False,Halsted St & 21st St,Halsted St & 21st St,162,41.85378,3,2,135,
7,15,Chicago ,,,-87.656959,,,Not In Service,False,Racine Ave & 13th St,Racine Ave & 13th St,165,41.865054,3,8,136,
8,15,Chicago ,,,-87.651062,,,Not In Service,False,Morgan Ave & 14th Pl,Morgan Ave & 14th Pl,169,41.862378,3,7,137,
7,15,Chicago ,,,-87.6405,,,Not In Service,False,Clybourn Ave & Division St,Clybourn Ave & Division St,171,41.904509,3,8,138,
10,19,Chicago ,,,-87.629928,,,Not In Service,False,Dearborn Pkwy & Delaware Pl,Dearborn Pkwy & Delaware Pl,173,41.899007,3,9,140,
12,23,Chicago ,,,-87.6346,,,Not In Service,False,Clark St & Lincoln Ave,Clark St & Lincoln Ave,179,41.915689,3,11,141,
9,15,Chicago ,,,-87.63854,,,Not In Service,False,Sedgwick St & Webster Ave,Sedgwick St & Webster Ave,191,41.92197,3,6,143,
8,15,Chicago ,,,-87.64401,,,Not In Service,False,Larrabee St & Webster Ave,Larrabee St & Webster Ave,193,41.92175,3,7,144,
5,11,Chicago ,,,-87.662007,,,Not In Service,False,Loomis St & Jackson Blvd,Loomis St & Jackson Blvd,206,41.877945,3,6,146,
11,15,Chicago ,,,-87.62248,,,Not In Service,False,Indiana Ave & 26th St,Indiana Ave & 26th St,212,41.8457,3,4,147,
